Date,Apple_Price,Apple_Vol.
2025-01-03,243.36,40244110.0
2025-01-02,243.85,55740730.0
2024-12-31,250.42,39480720.0
2024-12-30,252.2,35557540.0
2024-12-27,255.59,42355320.0
2024-12-26,259.02,27262980.0
2024-12-24,258.2,23234710.0
2024-12-23,255.27,40858770.0
2024-12-20,254.49,147495300.0
2024-12-19,249.79,60882260.0
2024-12-18,248.05,56774100.0
2024-12-17,253.48,51356360.0
2024-12-16,251.04,51694750.0
2024-12-13,248.13,33155290.0
2024-12-12,247.96,32777530.0
2024-12-11,246.49,45205810.0
2024-12-10,247.77,36914810.0
2024-12-09,246.75,44649230.0
2024-12-06,242.84,36870620.0
2024-12-05,243.04,40033880.0
2024-12-04,243.01,44383940.0
2024-12-03,242.65,38861020.0
2024-12-02,239.59,48137100.0
2024-11-29,237.33,28481380.0
2024-11-27,234.93,33498440.0
2024-11-26,235.06,45986190.0
2024-11-25,232.87,90152830.0
2024-11-22,229.87,38168250.0
2024-11-21,228.52,42108330.0
2024-11-20,229.0,35169570.0
2024-11-19,228.28,36211770.0
2024-11-18,228.02,44686020.0
2024-11-15,225.0,47923700.0
2024-11-14,228.22,44923940.0
2024-11-13,225.12,48566220.0
2024-11-12,224.23,40398300.0
2024-11-11,224.23,42005600.0
2024-11-08,226.96,38328820.0
2024-11-07,227.48,42137690.0
2024-11-06,222.72,54561120.0
2024-11-05,223.45,28111340.0
2024-11-04,222.01,44944470.0
2024-11-01,222.91,65276740.0
2024-10-31,225.91,64370090.0
2024-10-30,230.1,47070910.0
2024-10-29,233.67,35417250.0
2024-10-28,233.4,36087130.0
2024-10-25,231.41,38802300.0
2024-10-24,230.57,31109500.0
2024-10-23,230.76,52286980.0
2024-10-22,235.86,38846580.0
2024-10-21,236.48,36254470.0
2024-10-18,235.0,46431470.0
2024-10-17,232.15,32993810.0
2024-10-16,231.78,34082240.0
2024-10-15,233.85,64751370.0
2024-10-14,231.3,39882090.0
2024-10-11,227.55,31759190.0
2024-10-10,229.04,28183540.0
2024-10-09,229.54,33591090.0
2024-10-08,225.77,31855690.0
2024-10-07,221.69,39505350.0
2024-10-04,226.8,37345100.0
2024-10-03,225.67,34044160.0
2024-10-02,226.78,32880610.0
2024-10-01,226.21,63285050.0
2024-09-30,233.0,54793390.0
2024-09-27,227.79,34025970.0
2024-09-26,227.52,36636710.0
2024-09-25,226.37,42308720.0
2024-09-24,227.37,43556070.0
2024-09-23,226.47,54146020.0
2024-09-20,228.2,318679900.0
2024-09-19,228.87,66781320.0
2024-09-18,220.69,59894930.0
2024-09-17,216.79,45519340.0
2024-09-16,216.32,59357430.0
2024-09-13,222.5,36766620.0
2024-09-12,222.77,37498230.0
2024-09-11,222.66,44587070.0
2024-09-10,220.11,51591030.0
2024-09-09,220.91,67179970.0
2024-09-06,220.82,48423010.0
2024-09-05,222.38,36615400.0
2024-09-04,220.85,43840200.0
2024-09-03,222.77,50190570.0
2024-08-30,229.0,52990770.0
2024-08-29,229.79,51906300.0
2024-08-28,226.49,38052170.0
2024-08-27,228.03,35934560.0
2024-08-26,227.18,30602210.0
2024-08-23,226.84,38677250.0
2024-08-22,224.53,43695320.0
2024-08-21,226.4,34765480.0
2024-08-20,226.51,30299030.0
2024-08-19,225.89,40687810.0
2024-08-16,226.05,44340240.0
2024-08-15,224.72,46414010.0
2024-08-14,221.72,41960570.0
2024-08-13,221.27,44155330.0
2024-08-12,217.53,38028090.0
2024-08-09,216.24,42201650.0
2024-08-08,213.31,47161150.0
2024-08-07,209.82,63516420.0
2024-08-06,207.23,69660490.0
2024-08-05,209.27,119548600.0
2024-08-02,219.86,105568600.0
2024-08-01,218.36,62501000.0
2024-07-31,222.08,50036260.0
2024-07-30,218.8,41643840.0
2024-07-29,218.24,36311780.0
2024-07-26,217.96,41601350.0
2024-07-25,217.49,51391200.0
2024-07-24,218.54,61777580.0
2024-07-23,225.01,39960260.0
2024-07-22,223.96,48201840.0
2024-07-19,224.31,49151450.0
2024-07-18,224.18,66034590.0
2024-07-17,228.88,57345880.0
2024-07-16,234.82,43234280.0
2024-07-15,234.4,62631250.0
2024-07-12,230.54,53046530.0
2024-07-11,227.57,64710620.0
2024-07-10,232.98,62627690.0
2024-07-09,228.68,48169820.0
2024-07-08,227.82,59085860.0
2024-07-05,226.34,60412410.0
2024-07-03,221.55,37369800.0
2024-07-02,220.27,58046180.0
2024-07-01,216.75,60402930.0
2024-06-28,210.62,82542720.0
2024-06-27,214.1,49772710.0
2024-06-26,213.25,66213190.0
2024-06-25,209.07,56713870.0
2024-06-24,208.14,80727010.0
2024-06-21,207.49,246421400.0
2024-06-20,209.68,86172450.0
2024-06-18,214.29,79943250.0
2024-06-17,216.67,93728300.0
2024-06-14,212.49,70122750.0
2024-06-13,214.24,97862730.0
2024-06-12,213.07,198134300.0
2024-06-11,207.15,172373300.0
2024-06-10,193.12,97262080.0
2024-06-07,196.89,53103910.0
2024-06-06,194.48,41181750.0
2024-06-05,195.87,54156790.0
2024-06-04,194.35,47471450.0
2024-06-03,194.03,50080540.0
2024-05-31,192.25,75158280.0
2024-05-30,191.29,49947940.0
